TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
9/5/2025,25,33.4,30.2,72,0,7,4,250,2,W
10/5/2025,27.2,33.8,29.7,78,0,3.3,5,300,1,C
11/5/2025,26.8,34.6,28.8,81,0.8,5.2,3,20,1,C
12/5/2025,25,32.8,29.2,76,27,5.2,4,290,1,C
13-05-2025,26,33,28.9,76,0,0.6,4,300,1,C
14-05-2025,24.8,33.8,29.1,78,55.2,4,4,320,1,C
15-05-2025,25,33.4,29.6,75,0,5.2,4,330,1,C
16-05-2025,26.4,32.4,28.6,83,37.2,6.3,4,290,1,C
17-05-2025,26,34,28.4,83,2.1,4.2,2,70,1,C
18-05-2025,25,33.2,29,79,5.7,4.3,3,300,2,SE
19-05-2025,25.6,32.6,28.8,78,1,5.5,3,290,1,C
20-05-2025,26.2,33.6,29.3,75,0,2.7,4,260,1,C
21-05-2025,26,31.6,28.1,84,0,3.2,3,120,1,C
22-05-2025,25.8,30.6,28,87,40.4,1,5,310,1,C
23-05-2025,25.8,30,26.8,90,4.9,2.1,4,340,1,C
24-05-2025,25,32.4,28.2,81,7.5,0,4,290,1,C
25-05-2025,25.4,29.6,26.9,89,0.5,5.5,4,20,1,C
26-05-2025,25.4,30,27.4,87,33,0,3,290,1,C
27-05-2025,25,33.6,29.7,71,21.3,0,3,280,1,C
28-05-2025,26.8,33.8,29.8,76,0,6.8,3,280,1,C
29-05-2025,27,34.6,30.4,76,0,5.8,4,290,1,C
30-05-2025,24.8,32,28.5,82,20,5.7,4,270,1,C
31-05-2025,26,33.4,29.5,80,0,5.4,5,270,1,C
1/6/2025,25.8,32,28.3,75,1.6,6.3,3,90,1,C
2/6/2025,24.8,33.2,29.4,76,0,0.2,3,290,1,C
3/6/2025,27,33.2,29.5,76,0,4.2,3,290,0,C
4/6/2025,27.2,34,30.2,74,0,7,4,280,1,C
5/6/2025,25,33.4,29.8,73,0,3.7,4,320,1,C
6/6/2025,27.2,32.6,29.3,74,0,4.2,4,310,1,C
7/6/2025,27.4,33,28.6,82,8888,2,5,300,1,C
8/6/2025,24,32.4,28.9,76,16.5,4,3,280,1,C
9/6/2025,26.4,32.8,29,78,0,3.8,4,300,1,C
10/6/2025,26.2,32.6,29.1,81,27.3,2.6,4,260,1,C
11/6/2025,25,32.8,28.4,79,30.5,2.8,3,100,2,E
12/6/2025,26,33.4,29.2,74,0,2.7,4,110,1,C
13-06-2025,26.8,34.6,30,71,0,2.8,4,100,1,C
14-06-2025,25,33.4,27.9,80,0,2.9,3,160,1,C
15-06-2025,26,33.2,29.2,76,10.6,1,3,60,1,C
16-06-2025,27,33.4,29.9,76,8888,2.5,5,90,2,E
